text,sent_makanan,sent_harga,sent_layanan,sent_lingkungan,sent_umum,,numerik_makanan,numerik_harga,numerik_layanan,numerik_lingkungan,numerik_umum
"Selain menunya enak dan harga terjangkau, pelayanannya juga baik. Pegawainya super ramah dan tempatnya juga sangat nyaman.",positif,positif,positif,positif,,,1,1,1,1,0
Mie gacoan Jember dengan bangunan dan suasana yang baru. Tempat lebih luas dengan sistem pemesanan di meja. Sayangnya jarak waktu antara minuman datang dengan makanan datang sangat sangat lama. Pelayanan bisa ditingkatkan,,,negatif,positif,,,0,0,2,1,0
"memesan tidak perlu antri ke kasir, harga yang terjangkau tapi sangat work it, the best memang gacoan gapernah bosen ðŸ¤©ðŸ¤© â€¦",,netral,netral,,,,0,3,3,0,0
"Akhirnya bintang sempurna gacoann jemberr the bestðŸ˜ðŸ˜ peningkatan luar biasaðŸ‘ðŸ»ðŸ‘ðŸ»
- PELAYANAN CEPAT 25 MENIT SAMA NGASIRðŸ’¯
- TEMPAT DUDUK BANYAK LUAS SEKALI PARKIR GAPERLU RIBET KYAK DLUU YG DI JALAN â€¦",,,positif,positif,,,0,0,1,1,0
"Makanannya enakÂ² aja, cuma gak kuat bgt lamanya. Sampe sini jam 19.00, smpe jam 20.11 makanan belum juga dateng.
Masih ada nunggu kursi, nunggu minuman, nunggu dimsumnya ",positif,,negatif,,,,1,0,2,0,0
"tempatnya bagus, luas. tapi kalau lagi rame kadang tempat duduknya pun kosong, harus nunggu. mienya enak, smuanya enak sih dengan harga 10k an. parkir motor 2k, gojek 1k. parkir sudah pake kaya di roxy, pelayanan oke, antri tidak lama. â€¦",positif,positif,negatif,positif,,,1,1,2,1,0
"sangatt suka tempat gacoan terbaru ,tempatnya lebih luas dan lebih estetikk hehee, musholla juga lebih baik dari sebelumnya apalagi kamar mandinya sangat jauh lebih baikðŸ¤ŸðŸ»ðŸ¤ŸðŸ»ðŸ¤ŸðŸ»ðŸ¤ŸðŸ»hanya saja saat mengantri sedikit lama ,namun tempat yang disediakan banyakk. cukupp puas dengan gacoan terbaru iniðŸ˜½ðŸ˜½ðŸ˜½ðŸ˜½ðŸ˜‚ðŸ˜‚ â€¦",,,negatif,positif,,,0,0,2,1,0
"Suka bgt sama mie dan udang rambutannya, pelayannya ramah, terimakasih",positif,,positif,,,,1,0,1,0,0
"Tempat yg sekarang jauh lebih luas parkirannya juga luas sekali, untuk rasanya masih sama seperti dicabang yg lama, hanya saja memang menunggu pesannya agak lama meskipun dine in biasanya minuman dan dimsum keluar lebih dulu lalu mienya â€¦",netral,,negatif,positif,,,3,0,2,1,0
"Gacoan jember yang sekarang sangat luas dan nyaman, apalagi pelayannya  sat set walaupun waiting list tidak terlalu lama dapet nomer meja, APALAGI MBAK DINI,sangat ramah,waktu scan barcode agak eror lngsung dibantu sm mbak dini heheheh,semangat terusss!! sukses gacoan jemberðŸ’– â€¦",,,positif,positif,,,0,0,1,1,0
"Tempatnya lebih luas,bersih pelayanannya ramah, pelayanannya cepet meskipun antriannya pajang bangett",,,positif,positif,,,0,0,1,1,0
"#gacoangariskeras
#cintagacoan
Rasanyaaaa melayang rekkkkkkkkk duhh pedesnya nampolllll mienya gurih â€¦",positif,,,,,,1,0,0,0,0
Yang mau ke sini siap siapin perut kosong soalnyaaa makanannya enak semuaaaaaaaaa dan pelayanannya ramah ramahh dan 1 lagiii tempatnya luassss bngttt dan selalu nyamann sama servicenyaaaa,positif,,positif,positif,,,1,0,1,1,0
Pelayanannya cepat tempat luas dan makanannyaa enak enak bangetttt murah lagiiii rekomendasi dehhhhhh,positif,positif,positif,positif,,,1,1,1,1,0
Pelayannya ramah banget ini tempat makan yang rame tapi tetep mentingin estimasi jadiii suka bngt dan akan balik lagi gercep bngt mas masnyaaa ngelayanin,,,positif,positif,,,0,0,1,1,0
Pelayanan nya oke banget rasanya mantap selalu konsisten cocok untuk bareng2 sma kluarga yang bingung mau makan dimana,positif,,positif,,,,1,0,1,0,0
"tempatnya lebih luas dan nyaman ,,,bagus untuk berfotoo ,karyawan juga selalu siap melayanii , apalagi untuk customer dine inðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ¥°ðŸ¥° â€¦",,,positif,positif,,,0,0,1,1,0
"makan enak dan pelayanannya baik, datangnya cepat",positif,,positif,,,,1,0,1,0,0
"suka banget sama tempatnya, bersih, nyaman dan lebih luas dari sebelumnya, good job, semoga tambah rame dengan adanya perubahan baru",,,,positif,,,0,0,0,1,0
"Sekedar saran saja, alangkah baiknya jika penempatan sumpit tidak di bagian belakang tubuh dekat pantat. Meski sudah di bungkus dgn plastik sumpit, tp agak kurang enak di pandanh bagi beberapa customer. Krn itu alat makan bukan tisu/lap. Terimakasih",,,,negatif,,,0,0,0,2,0
Kak aku kasi bintang 1000000 deh untuk gacoan yang sekarang apalgi soal pelayanan kek ramah bngt gercep ngebantuin luas juga tempatnyaaaaa terus kakak kakaknya juga seru dan lucuuuuu,,,positif,positif,,,0,0,1,1,0
"Suasana nyaman sekali, pelayanannya juga ramah apalagi mbak mbak bagian jaga didepan selalu tersenyum namanya mbak iklimatus, semangat terimakasih gacoan Jember",,,positif,positif,,,0,0,1,1,0
Pelayanan cepat. Rasanya tetep enak. Size dimsumnya gede. Kebersihan terjaga,positif,,positif,positif,,,1,0,1,1,0
"Peningkatan banget semuanya. Dari segi pelayanan, dari segi tempatnya. best pokoknya. Jadi lebih efisien. Cuma agak panas aja, diikiiitt ðŸ˜ â€¦",,,positif,negatif,,,0,0,1,2,0
sungkemmmmmm dulu sama gcoan jember se enak itu se nyaman itu se care itu pelayanan okee bngt ini si ter dabestttttt tempatnya makanannya pelayanannyaaaaaa gongg bagtt udahhhhh ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜â¤ï¸â¤ï¸âœ¨ï¸ðŸ˜ â€¦,positif,,positif,positif,,,1,0,1,1,0
"Pelayanan bagus,mie favorit ga pernah bosen kalo ke gacoan",positif,,positif,,,,1,0,1,0,0
Boommmmmmmm bngtt rekk jemban wong Jember wong semua karna cinta wajib ke gacoan jembr ini siiiiii tempat luassss aduhaiii bagtt dehhh pokoknyaaaaaaaaa manusia mana yang gasuka gacoannn sinii majuuuuuuuuu #gaongariskerasðŸ”¥â¤ï¸ðŸ”¥â¤ï¸ðŸ”¥â¤ï¸ðŸ”¥â˜ï¸ðŸŒ¹ðŸ¥°ðŸŒ·ðŸ’ž â€¦,,,,positif,,,0,0,0,1,0
"Tempatnya lebih luas,pelayanan baik...tidak pernah mengecewakan selalu bikin ketagihan",,,positif,positif,,,0,0,1,1,0
"Toiletnya ga bersih, sementara waktu tunggu yg lama kdng bikin kita Harus ke toilet yg aaauuuh ah....",,,negatif,negatif,,,0,0,2,2,0
"setelah sekian lama, gacoan berpindah ke tempat yg lebih luas
sama dengan gacoan di kota lain, tempatnya luas, memang agak sedikit panas dan ketika pesenan selesai, nama yg dipanggil kurang kedengaran jelas, ",,,,negatif,,,0,0,0,2,0
"Sukaa bgt sama gacoan yang baruuu,pelayanan cepat, tempat bersihh akan selalu langganann",,,positif,positif,,,0,0,1,1,0
pelayanannyaaaa bagussssss bngt enakk ramahhhh bestt gacoann besttðŸ¥³ðŸ’—ðŸ’—ðŸ’—ðŸ’—ðŸ’—ðŸ’—ðŸ’—ðŸ’—ðŸ’—ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ’—ðŸ’—ðŸ’—ðŸ’—ðŸ’— â€¦,,,positif,,,,0,0,1,0,0
"Makannya bikin nagih pool. Enak banget..
Pelayanannya ramah banget apalagi yang namanya mas adit baik dan sopan banget terimakasih mas adit",positif,,positif,,,,1,0,1,0,0
"Makanan enak, tempatnya makin luas daripada yang di sumatra duluu, sippp",positif,,,netral,,,1,0,0,3,0
"Sangat suka dengan pelayanan nya, makanan nya enak + pelayanan nya ramah
Saya mendapatkan nomer meja dengan cepat",positif,,positif,,,,1,0,1,0,0
"seruu bngtt luass jauh lebih luas daripada yg lamaa, trus makanannya jg lebih cepet datengnyaâœ‹ðŸ»ðŸ˜†ðŸ¤ðŸ¤ â€¦",,,positif,positif,,,0,0,1,1,0
"Gacoan jember resto baru the best, bener2 konsisten pelayannya cepat dan bagus apalagi MAS RAGIL, super duper ramah, baru dateng langsung dapet kursi, sekarang bisa pesan dimeja gaperlu antri berdiri dikasir lebih nyaman
Sukses gacoan jember",,,positif,positif,,,0,0,1,1,0
"tempat baru lebih luas dan nyaman, pelayanan baik, pesanan cepat jika tidak ramai, cenderung ramai",,,positif,positif,,,0,0,1,1,0
"Tempatnya nyaman, bagus, luas, & bersih. makannya enak2 semua, minumannya jg mantap.",positif,,,positif,,,1,0,0,1,0
mie nya si enak tapi layanannya kurang waktu take away nama nya riskia pas dipanggil riska mana dipanggilnya 3x tetep riska,positif,,negatif,,,,1,0,2,0,0
"pelayanan memuaskan ,makanan mantul enak betul",positif,,positif,,,,1,0,1,0,0
"Mienya gacoannya warna nya lebih pucat dan rasanya agak hambar, beda pas di gacoan yang lama, terus pelayanannya lama hampir sejam baru diantar padahal jam 2 pagi.",negatif,,negatif,,,,2,0,2,0,0
"Tempat yang sekarang lebih lebar, jadi bisa menampung pembeli lebih banyak, dan mengurangi antrian yang mengular",,,,positif,,,0,0,0,1,0
GONG BANGET GACOAN JEMBER INI SEMENTARA MEMEGANG KASTA GACOAN TERBAIK SEJAUH INIIIII BESTT BBGT DI ANTARA GACOAN YANGG LAINNNN KEK TEMPAT  BAGUS MAKANAN ENAKKK PELAYANAN OKEEEEEEEEEE,positif,,positif,positif,,,1,0,1,1,0
"Kualitas makanan baik, rasa enak, variasi menu beragam dan cukup banyak, pelayanan cepat, tempatnya luas, harga terjangkau.",positif,positif,positif,positif,,,1,1,1,1,0
"udh sring bgt ke gacoan yg lama, tp ini first time ke gacoan yg baru di jl pb Sudirman. tempatnya makin luas, trs waiters nya ramah bgt, sopan santun + gercepp bantu. mulai dari di gacoan yg lama smpe pindah tempat ini baru smpet tnya namanya, namanya kak teguh",,,positif,positif,,,0,0,1,1,0
"the Bess bangett, pelayanannya ramah baik cepat bngtt, sukakkk dehh",,,positif,,,,0,0,1,0,0
"Baru pertama ke GACOAN Jember
rame sekalii
Untuk rasa semua gacoan sama ya â€¦",netral,,,,,rame sekali ?,3,0,0,0,0
"tempatnya luas sekali, pelayanannya ramah, makanannya worth it bangett cocok buat pelajar/mahasiswa dll, cocok buat acara reservasi",positif,,positif,positif,,,1,0,1,1,0
"Tempatnya nyaman dan pelayanan the best, kualitas okee",positif,,positif,positif,,,1,0,1,1,0
"Please langgangan bgt terkait rasa juara poll
tempate luas, antrian panjang sepertinya karena baru pindah kek orang orang pada antusias nyoba resto baruuuuuðŸ«‚ðŸ«‚ðŸ«‚ â€¦",positif,,,positif,,,1,0,0,1,0
"Pelayanannya ramah dan tempatnya bagus, pokoknya waw dehðŸ¥° â€¦",,,positif,positif,,,0,0,1,1,0
"suasana nyaa enakk, makannya jugaaa enakk, ga perlu raguu lagii buat kesinii",positif,,,positif,,,1,0,0,1,0
"Makin bagus, rada konsisten, pelayanan juga lebih bagus dari sebelumnya, tempatnya makin luas dan parkirannya untuk mobil juga sudah ada ðŸ˜ â€¦",,,positif,positif,,,0,0,1,1,0
"Mienya enak, pelayanan ramah dan cepat",positif,,positif,,,,1,0,1,0,0
"mie nya sangat enakk,rasanya gapernah berubah tetep enakkk,pedes nya nampoll,tempatnya juga nyaman bangetttðŸ’“ðŸ’“ðŸ«°ðŸ«° â€¦",positif,,,positif,,,1,0,0,1,0
"Salah satu tempat makan yang menjual jenis makanan mie pedas dan aneka dimsum yang enak. Suasana happy dan menyenangkan, lalu dilengkapi dengan area bermain untuk anak-anak. Area parkir luas dan nyaman. Pelayanan ramah dan ada musholla ",positif,,positif,positif,,,1,0,1,1,0
favorit banget tempatnya bersih pelayanannya pada murah senyum semua.tadinya bingung gmna sistemnya tapi mas2 nya ngejelasinnya sabar banget gak pernah ngecewain dah.karyawan an Ragil,,,positif,positif,,,0,0,1,1,0
Pelayanannya satset bangettttttt dan untuk tempatnya jugaaa luas bersih enak deh pokoknyaa,,,positif,positif,,,0,0,1,1,0
"Tempatnya semakin luas, nyaman, kebersihan dijaga.",,,,positif,,,0,0,0,1,0
Pelayanan nya ramah,,,positif,,,,0,0,1,0,0
"tempatnya semakin nyaman, pelayanan ramah banget",,,positif,positif,,,0,0,1,1,0
"semalam saya pesan via ojol, pesanan tidak sesuai dengan struk pembelian, saya sudah sering alami hal ini, karyawan gacoan tidak teliti, tolong setiap pesanan di cek lagi sebelum di kirim via ojol. Karyawan bagian Quality Control harus â€¦",,,negatif,,,,0,0,2,0,0
"Tempatnya nyaman,  parkir luas, makanannya enakkk
Pelayanan juga ramah",positif,,positif,positif,,,1,0,1,1,0
"nyaman deh, sistem ny udah self servis jadi ga prlu nunggu oranglain, ga kebingungan jgaaa, gatau langsung diarahkan sama karyawannya",,,positif,,,,0,0,1,0,0
"mie nya selalu enak, dan pelayanan sekarang juga sudah makin canggih dan cepat",positif,,positif,,,,1,0,1,0,0
bumbu mienya menurutku makin enak yang sekarang + hoki banget hari ini gak nunggu atay antri begitu lama. pelayanan bintang lima sama waiternya cakep-cakep dan bersih. penyajian juga bersih jadi enak dan betah,positif,,positif,,,,1,0,1,0,0
"Makanan enak, Antri ga terlalu ramai, Parkiran juga luass",positif,,positif,positif,,,1,0,1,1,0
Pelayanan bagus banget dan makanan nya enak banget,positif,,positif,,,,1,0,1,0,0
"Pelayanan bagus, tempat bersih, dan makanan enak",positif,,positif,positif,,,1,0,1,1,0
"Makanan nya enak dan lezat poll, tempat nya nyaman dan luas",positif,,,positif,,,1,0,0,1,0
tempat dan pelayanan nyaman banget. makin luas makin enak,,,positif,positif,,,0,0,1,1,0
Wah mantap rasanya mantap .. pelayanan nya juga bagus .  Sukses terus untuk mie gacoan â¤ï¸â¤ï¸â¤ï¸ðŸ¤ðŸ¼ â€¦,positif,,positif,,,,1,0,1,0,0
"tempat luas, pelayanan cepat banget, petugasnya ramah2",,,positif,positif,,,0,0,1,1,0
Bersih tempat nyaman parkir aman nyaman baik R2/R4,,,,positif,,,0,0,0,1,0
"sukaaa bgt pelayanan nya , kukira lama , ternyata cepet bgt antri nya",,,positif,,,,0,0,1,0,0
"pelayanannya ramahhh bangett, sukaa bangettt. apalagi yang namanya kak teguhhh, thee besttt. makanannya enakk udangnya pun gaa berubahh. suasananya ademmm jgaa, jangan lupaa dehhh mampirrr dan cobainn sendiriii hihihi..",positif,,positif,positif,,,1,0,1,1,0
Tempatnya makin luas makananya juga enak cepet jugaa suka bngett makin love gacoan,positif,,,positif,,,1,0,0,1,0
"Tempat dan pelayanan bagus , lebih efisien pelayanannya",,,positif,positif,,,0,0,1,1,0
"KLO soal makanan sma minuman sih oke semua , cuma yg aneh parkiran , hilangkan kertas biasa gaada nominal tetep 2000 malah skrng sampai 6000 , malah tukang parkirnya sok sok an , males ribet sma Tukang parkir tak langsung bayar",positif,negatif,negatif,,,,1,2,2,0,0
"Pelayanan lebih cepat dan efisien, bayar qris ga perlu ke kasir",,,positif,,,,0,0,1,0,0
Tempatnya semakin luas pelayanannya oke bangetâ¤,,,positif,positif,,,0,0,1,1,0
Tempatnya bagus bngt. Karyawannya ramah2,,,positif,positif,,,0,0,1,1,0
"makanannya enak, pelayanannya bagus dan ramah mba' nya, terimakasih gacoan, lovyu banyak'",positif,,positif,,,,1,0,1,0,0
"Mie nya enak
Pengantaran cepet ga antri. Banyak",positif,,positif,,,,1,0,1,0,0
Pelayanan bagus kak makasih,,,positif,,,,0,0,1,0,0
"pelayanan oke aku kasi jempol, tapi sayang di pangsitnya ada rambut",negatif,,positif,,,,2,0,1,0,0
"Pelayanannya bagus banget, ramahÂ² bangett suka SM gacoan yang sekarang",,,positif,,,,0,0,1,0,0
enak dan terjangkau,positif,positif,,,,,1,1,0,0,0
enakk wort it dengan harga pelajarrr wajib repeat,positif,positif,,,,,1,1,0,0,0
"Sumpah lama bnget, nunggu lama, mienya tambah kecil, tdk recomended.",negatif,,negatif,,,,2,0,2,0,0
"Pindah ke sini malah makin lama pelayanan, pesen udah 30 menit makanan belum dateng. Meja yg dateng belakangan malah didahuluin.
Pesenan udah pake nomer meja, tapi masih perlu nunjukkin struk pembayaran.",,,negatif,,,,0,0,2,0,0
makanan enakk pelayanan baikkk mantappp dehhh,positif,,positif,,,,1,0,1,0,0
"tempat lebih luas bagus dan nyaman, makanan tetep sama masih jadi favorit enak bangeeetttt",positif,,,positif,,,1,0,0,1,0
"Udah langganan dari mulai yang di jl. Sumatra, nggak pernah bosen makan disini sekarang lebih luas tempatnya dan rasanya tetap konsisten selalu enak the best pokok nya buat gacoan",positif,,,positif,,,1,0,0,1,0
"Lokasi Keren lah  bisa ngimbangi kota besar..
mgkin kcpatan playanan lbh ditingkatin..",,,negatif,positif,,,0,0,2,1,0
"Tempat nya bersih, pelayanan nya baik dan cepat dan ramah, makanan nya enak, recomended !!",positif,,positif,positif,,,1,0,1,1,0
"pelayanan yang sangat baik dan cepat, karyawan ramah",,,positif,,,,0,0,1,0,0
"Lebih luas dan nyaman untuk menikmati hidangan, langganan gacoan buat nambah mood, udang keju, green tai tea dan teh tarik ðŸ”¥
Tapi udah gak keliatan bapak parkir yang biasanya bisa diajak gurau. â€¦",netral,,,positif,,,3,0,0,1,0
"Sistem layanan oke,jenis minuman bervariasi dan enak enak",positif,,positif,,,,1,0,1,0,0
"Tempatnya sekarang makin luas dan rasa mie tetep ga pernah berubah ðŸ˜ðŸ˜ðŸ˜ðŸ˜,
",netral,,,positif,,,3,0,0,1,0
"makanannya enak"" apalagi perdimsuman nya, tempatnya juga aesthetic",positif,,,positif,,,1,0,0,1,0
"Pegawainya Baik, ramah. Rasanya juga enak. jangan lupa mampir guysss",positif,,positif,,,,1,0,1,0,0
"Batal makan gara"" rame tetep dikenakan parkir alasannya udh dpt karcis. Kita gatau rame/ngganya karna masuk dpt karcis trus parkir trus masuk br tau. Enakan dulu, kalau rame ngga jadi makan tinggal ngomong pak parkirnya dan ga bayar.",,,negatif,,,,0,0,2,0,0
"Luas tempatnya, parkir juga nyaman, sayangnya kalo bayar tunai harus bolak balik dari ambil antrian teru ke meja scan menu, pesen terus balik ke kasir buat bayar tunai. â€¦",,,negatif,positif,,,0,0,2,1,0
"problem Take Away :
-on duty manajer selina, seperti tidak bisa mengarahkan kegaduhan customer. jawabannya hanya 'seperti itu kak prosedurnya' gabisa kasi opsi lain. ditanya â€¦",,,negatif,,,,0,0,2,0,0
"tempatnya lebih luas, praktis, pelayanannya mantap",,,positif,positif,,,0,0,1,1,0
sumpah ada miee yaang se enak iniii udang kejunyaaa surgaaaaa sihh kek omaygattt suka banget apalagi tempatnya luas pas dateng masi sepi si pelayananyaaa ramah semuaaaaaaaa sukaaa besttttt bbgtt luvvvðŸ¤©â¤ï¸â€ðŸ”¥â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸ â€¦,positif,,positif,positif,,,1,0,1,1,0
"Baru pertama kali makan dine in. Biasanya go food. Untuknya makanannya oke, tapi untuk minumannya saya pesan es jeruk, kirain jeruk beneran. Ternyata jeruk-jerukan ðŸ˜…. ",negatif,,,,,,2,0,0,0,0
Nyaman sihhh cuma agak lama dikit di minumannya hehehehe,,,negatif,positif,,,0,0,2,1,0
"Gacoan loveeeeeeeeâ¤â¤â¤â¤â¤ðŸ‘ŒðŸ‘ŒðŸ‘ŒðŸ‘Œ
Rasanya best
Palayanan best bngt â€¦",positif,,positif,,,,1,0,1,0,0
"Enak sih gacoan disini, rasanya, pelayanannya, semuanyaa pokoonya daripada sebelum pindah itu. Aku garis bawahi 'pelayanan' nya, karena disini lebih tertata, pesen lewat barcode, jadi kalo mau bayar bisa tunai or nontunai, tinggal nunggu pesenan diantar/ngambil. Gausah antriÂ² kayak duluuðŸ˜­ â€¦",positif,,positif,,,,1,0,1,0,0
"Makanan sih aman, cuma mohon untuk kamar mandinya lebih di perhatikan lagi, airnya juga matiðŸ˜­ðŸ˜­ â€¦",netral,,,negatif,,,3,0,0,2,0
pelayanannya ramah makanannya enakk,positif,,positif,,,,1,0,1,0,0
"Bagus,nyaman adem puass bgt pelayanannya",,,positif,positif,,,0,0,1,1,0
"Skedar saran aja sih klk smisal tempat duduk/meja makan buat customer kurang banyak dan coba banyakin aja pasti makin rame, soalnya klk makanan ok sih tp minus tempat aja â€¦",,,,negatif,,,0,0,0,2,0
"makanan sangat enak dan penyajiannya cepat,selain itu tempatnya juga bersih",positif,,positif,positif,,,1,0,1,1,0
aga panas tempat saya duduk kurang kena kipas hehehe,,,,negatif,,,0,0,0,2,0
Tempat lumayan luas,,,,positif,,,0,0,0,1,0
"Best sih, pokoknya apapun kondisinya gacoan solusinya wkwk",,,,,,,0,0,0,0,0
Pelayananannya ramah cepat santap untuk makananðŸ¥° â€¦,,,positif,,,,0,0,1,0,0
Ini kesekian kalinya sih ke gacoan jember pelayanan selalu menyenangkan sumringah jadi kitanya happyyy mau makan dan 1 lagi cepatttttt bngt meskipun rame,,,positif,,,,0,0,1,0,0
"sangat sangat enak,pedesnya masih bisa di terima di lidah",positif,,,,,,1,0,0,0,0
Kakak kasirnya cantik. Bulu matanya anti baday dan petire,,,,,positif,,0,0,0,0,1
Salah satu warung kedai resto mie di kota Jember dengan cita rasa yang enak dengan fasilitas lahan parkir yang luas dan toilet. Tempat makan yang nyaman berlokasi di jalan PB Sudirman pertigaan ke arah jalan Wijaya Kusuma.. tepatnya di depan apotek Bima 3. recommended ðŸ‘ â€¦,positif,,,positif,,,1,0,0,1,0
"Mic nya diganti,,, Masa Pemberitahuan ke costomer Ngga Jelas Gitu,,, Sekelas Gacoan Ganti Mic Pemberitahuan Aja Ngga Kuat,, Payah,,",,,,negatif,,,0,0,0,2,0
"Pelayanan bagus, cepat dan semakin luas tempatnyaa, rasanya jugaa ga berubahh, bestt ðŸ”¥ðŸ¤ðŸ» â€¦",positif,,positif,positif,,,1,0,1,1,0
"rasanya tidak konsisten, mie terkadang basah terkadang kering.
porsi terkadang banyak, terkadang sedikit.
dan usahakan minuman di antar dahulu, meski tidak bersamaan dengan makanannya.",negatif,,negatif,,,,2,0,2,0,0
Bestttt bngttttttt gacoann bestt lovee u gaconnnnâ¤â¤â¤â¤ðŸ’“ðŸ’“ðŸ’“ðŸ’“ðŸ’“ðŸ’“ â€¦,,,,,positif,,0,0,0,0,1
Lumayan agak sepi jam segini jadi ga antri lama lamaðŸ¤£ â€¦,,,positif,,,,0,0,1,0,0
"Suka pol
Mie pedes paling enak",positif,,,,,,1,0,0,0,0
Tempat sangat nyaman dan pelayanan sangat ramahhh,,,positif,positif,,,0,0,1,1,0
"2x pesan shopeefood, estimasi tertulis 1.5 jam sampai, dan dua duanya di cancel mendekati 1.5 jam. Kalau memang mau cancel mending cancel saja dari awal, jangan customer sudah nunggu 1.5 jam baru di cancel. Mengecewakan sekali dicancel saat â€¦",,,negatif,,,,0,0,2,0,0
Minya lezatt untuk rasanya menurut saya masih enak yang gacoan dulu. Untuk pelayanannya lumayan lama mungkin karena rame yaa tapi masih menduduki mie terbestt dijember menurut akuuðŸ¤© â€¦,negatif,,negatif,,,,2,0,2,0,0
"Pelayanan sangat ramah sekali, makanan selalu di hangat ga pernah dingin dan suasana nyaman polll. Hampir tiap hari makan disini soalnya.. Mantulll bgttttt ðŸ‘ â€¦",positif,,positif,,,,1,0,1,0,0
pelayanannya sangat cepat makanannya juga masih hangat sangat tidak mengecewakan,positif,,positif,,,,1,0,1,0,0
makanannya enak bgt sih wajib kesiniðŸ”¥ðŸ”¥ â€¦,positif,,,,,,1,0,0,0,0
"tempatnya skarang lebih luas,dan tidak perlu antri ke kasir jika ingin memesan. juga harga yang terjangkau cocok untuk semua kalangan",,positif,positif,positif,,,0,1,1,1,0
Pelayanan ramah. Suasana enak. Lebih luas. Tempat duduk lebih banyak. Pemesanan juga lebih praktis dengan ada nya scan barcode. Jd gk perlu nunggu berdiri terlalu lama.,,,positif,positif,,,0,0,1,1,0
"Pelayanan nya satset,emang langganan dari duluðŸ˜loppp bgt gacoann â€¦",,,positif,,,,0,0,1,0,0
"Bagus banget tempatnya sekarang sangat nyaman, pelayanan juga oke",,,positif,positif,,,0,0,1,1,0
"Rame ya tempatnyaa
Definisi Tamban rameee soalnya tempatnya luas banget",,,,positif,,,0,0,0,1,0
"Makanan gak perlu gw ulas lagi karena emang udah enak, dgn kombo mi gacoan lvl 4 + udang kejunya.
Interiornya jadi lebih estetik & lebih luas gak bikin sumpek. â€¦",positif,,,positif,,,1,0,0,1,0
